问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0002,建议升级 NuGet 包,Active,Potential,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.8,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.8  建议:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.3"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,,,,,,,,当前目标框架: net9.0 建议的目标框架: net10.0
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,73,12,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateToken(System.String,Microsoft.IdentityModel.Tokens.TokenValidationParameters,Microsoft.IdentityModel.Tokens.SecurityToken@)",,,,,"return handler.ValidateToken(token, _val, out _);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,72,12,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,var handler = new JwtSecurityTokenHandler();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,72,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,var handler = new JwtSecurityTokenHandler();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,65,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,return handler.WriteToken(token);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,58,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"var token = new JwtSecurityToken(              issuer: _opt.Issuer,              audience: _opt.Audience,              claims: claims,              notBefore: now,              expires: now.AddHours(_opt.ExpireHours),              signingCredentials: _cred);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,58,8,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.#ctor(System.String,System.String,System.Collections.Generic.IEnumerable{System.Security.Claims.Claim},System.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials)",,,,,"var token = new JwtSecurityToken(              issuer: _opt.Issuer,              audience: _opt.Audience,              claims: claims,              notBefore: now,              expires: now.AddHours(_opt.ExpireHours),              signingCredentials: _cred);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,49,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,var handler = new JwtSecurityTokenHandler();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,LabelPlus_Next.ApiServer\LabelPlus_Next.ApiServer.csproj,File,LabelPlus_Next.ApiServer\Services\JwtService.cs,49,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,var handler = new JwtSecurityTokenHandler();
